"TOA5","degradação","CR1000","4186","CR1000.Std.08","CPU:ESTACAO_GIRASOL_2.CR1","24664","Public"
"TIMESTAMP","RECORD","BattV","PTemp_C","Solar_Wm2","Solar_KJ","Rain_mm","WS_ms","WindDir","AirTC","RH","piranometro_dif","Tot24","Batt_Volt","Crnt_A"
"TS","RN","Volts","Deg C","W/m^2","kJ/m^2","mm","meters/second","degrees","Deg C","%","w/m2","","Volts","A"
"","","","","","","","","","","","","","",""
"2022-03-04 14:17:06.06",167063,13.69574,38.03426,226.0627,13.56376,0,2.1413,63.41221,28.90535,40.44297,314.5894,0,13.69574,28.67955
"2022-03-10 15:14:24.27",175760,13.72299,41.42991,742.6861,44.56116,0,0.1404667,32.55669,28.22338,36.98817,311.1675,0,13.71748,28.66901
"2022-03-11 14:33:32.13",177159,13.67339,40.72051,824.9753,49.4985,0,1.781967,322.2515,29.6786,34.41629,310.406,0,13.66788,30.383
"2022-03-28 15:27:07.55",201693,13.72763,36.52508,546.1622,32.76972,0,1.741133,40.11475,27.94176,48.0704,287.9147,0,13.72212,37.53201
"2022-04-19 14:50:20.23",233336,13.75257,36.85493,217.2668,13.03601,0,0.5961667,37.05579,26.03446,34.5234,297.1954,0,13.74706,43.60857
"2022-05-02 15:42:06.38",252108,13.77725,33.47284,352.4096,21.14457,0,2.463067,70.51927,26.89233,27.92823,265.6991,0,13.77725,54.06489
"2022-05-02 15:41:49.32",252111,13.76071,33.62194,337.7225,20.26335,0,0.01306667,45.71495,26.92619,27.99593,264.9374,0,13.74968,54.06021
"2022-05-05 15:23:20.67",256413,12.67746,24.33416,99.91606,5.994962,0,0,45.74529,21.78774,75.91356,264.2292,56.60009,12.67746,25.47838
"2022-05-11 10:22:43.67",264752,13.56775,34.53694,698.9678,41.93806,0,1.540233,6.898105,21.98376,50.03386,283.8524,0,13.56775,46.61495
"2022-05-18 16:15:48.19",275185,13.39489,21.36777,202.8342,12.17005,0,3.710933,293.3559,15.48779,31.19918,246.6972,0,13.4004,64.21412
"2022-05-20 14:25:00.39",277955,13.78828,33.35987,528.6161,31.71696,0,0,3.509141,19.58024,31.31348,282.5829,0,13.78828,54.90572
"2022-06-03 14:10:47.11",298100,13.71267,39.21585,540.2071,32.41242,0,0.4197667,155.9855,27.6488,31.16785,286.4203,0,13.71267,47.33062
"2022-07-18 12:32:57.45",362802,13.99226,33.66035,716.5845,42.99506,0,4.643567,48.50305,23.71024,42.51863,243.6104,0,13.99226,56.49561
"2022-07-18 13:11:44.97",362841,13.93713,34.42172,684.2717,41.05629,0,2.6215,132.0254,23.64253,41.70617,247.5457,0,13.91508,55.93759
"2022-08-10 14:16:37.94",396026,12.99325,28.82103,44.06531,2.643918,0,4.2434,321.6724,23.49406,44.46278,246.996,0,12.98774,58.94135
"2022-08-17 13:55:25.22",406085,13.59072,39.84618,681.0177,40.86106,0,1.1417,26.59798,27.95265,25.04231,273.3502,0,13.59072,53.77933
"2022-08-19 13:49:40.48",408959,13.64583,41.42991,672.1132,40.32679,0,2.335667,179.5784,27.47887,27.20813,273.4771,0,13.65135,51.84532
"2022-08-22 16:22:49.56",413432,13.76071,31.8281,234.9365,14.09619,0,1.507567,76.52808,22.55923,32.26133,208.7001,0,13.76071,61.36599
"2022-09-21 16:40:51.19",456650,13.73315,34.61376,173.2523,10.39514,0,3.612933,48.91161,27.53551,36.86525,263.0332,4.2,13.73866,57.7716
"2022-11-04 14:05:15.91",519855,14.12307,23.66768,335.0058,20.10034,0,2.5823,99.11594,19.24783,51.96465,319.1058,0,14.11755,57.46544
"2022-11-17 14:28:44.62",538598,13.85994,34.42172,234.9147,14.09488,0,0.8199333,50.13742,26.21529,41.90926,322.4442,0,13.85443,49.56961
"2024-03-18 15:54:08.4",4,13.52271,32.47651,170.3657,10.22194,0,2.471233,58.01484,28.03045,50.42177,331.1899,0,13.47859,28.88596
"2024-04-03 13:40:05.93",22910,13.64583,40.25737,223.126,13.38756,0,3.764833,60.45214,27.71577,52.96111,334.2639,0,13.60726,23.35465
"2024-06-04 14:15:44.13",112225,13.73314,37.56659,549.1011,32.94606,0,2.280133,46.72438,25.74129,30.29786,287.7879,0,13.74968,51.80521
"2024-06-04 14:21:28.27",112231,13.76071,37.31356,531.4808,31.88884,0,3.475733,49.89707,25.63979,30.39945,286.3914,0,13.76622,52.11857
"2024-06-04 14:26:45.57",112236,14.00328,37.06279,519.7354,31.18412,0,1.8522,19.46851,25.43668,30.97494,285.1219,0,14.04188,52.35918
"2024-06-04 14:28:00.27",112238,13.81033,36.97919,510.9459,30.65675,0,1.568,39.87439,25.7752,30.63642,284.6141,0,13.89302,52.50394
"2024-06-11 14:42:47.73",122332,13.70822,39.43952,478.5492,28.71295,0,1.0192,134.3796,26.81207,22.03377,298.5926,0,13.71373,51.38691
"2024-06-11 14:43:59.74",122333,13.70879,39.39433,475.6074,28.53644,0,0.6304666,101.3137,26.88003,21.32308,298.4654,0,13.70879,51.45416
"2024-06-11 14:45:03.13",122335,13.70878,39.34915,466.7991,28.00794,0,1.301767,131.1609,26.88052,22.30479,298.084,0,13.70327,51.5769
"2024-06-15 09:20:27.17",127770,14.20657,30.29407,508.2228,30.49336,0,1.667633,93.52866,20.4809,49.84764,237.5973,0.4,14.19555,57.08372
"2024-06-20 16:44:34.66",135414,13.88665,30.87922,91.06791,5.464074,0,0,90.16228,23.69775,37.48719,206.2314,0,13.87562,60.22696
"2024-06-21 15:33:26.81",136783,13.94185,30.08847,349.5855,20.97512,0,2.624767,47.26922,23.42702,43.61666,185.0237,0,14.02458,60.51261
